############### CONFIGURATION ###############
# num_task       : 10
# alpha          : 0.2
# consumer_syscall_count: 200
# num_cpus       : 1
# beta           : 0.05
# util_num_min   : 0.1
# step           : 0.01
# experiment     : util_num
# periods        : 10-100
# samples        : 5000
# delta          : 0.1
# output         : output/utilization_schedulability_comparison.txt
# consumer_period_factor: 1.0
# util_num_max   : 1.0
################ ENVIRONMENT ################
# CWD............: /home/hufanhang/schedcat-experiments
# Host...........: ubuntu
# Python.........: 2.7.18
#################### DATA ###################
#   UTILIZATION          #rta  #rta_omnilog   #rta_nodrop
          0.1           1.0           1.0           1.0
         0.11           1.0           1.0           1.0
         0.12           1.0           1.0           1.0
         0.13           1.0           1.0           1.0
         0.14           1.0           1.0           1.0
         0.15           1.0           1.0           1.0
         0.16           1.0           1.0           1.0
         0.17           1.0           1.0           1.0
         0.18           1.0           1.0           1.0
         0.19           1.0           1.0           1.0
          0.2           1.0           1.0           1.0
         0.21           1.0           1.0           1.0
         0.22           1.0           1.0           1.0
         0.23           1.0           1.0           1.0
         0.24           1.0           1.0           1.0
         0.25           1.0           1.0           1.0
         0.26           1.0           1.0           1.0
         0.27           1.0           1.0           1.0
         0.28           1.0           1.0           1.0
         0.29           1.0           1.0           1.0
          0.3           1.0           1.0           1.0
         0.31           1.0           1.0           1.0
         0.32           1.0           1.0           1.0
         0.33           1.0           1.0           1.0
         0.34           1.0           1.0           1.0
         0.35           1.0           1.0           1.0
         0.36           1.0           1.0           1.0
         0.37           1.0           1.0           1.0
         0.38           1.0           1.0           1.0
         0.39           1.0           1.0           1.0
          0.4           1.0           1.0           1.0
         0.41           1.0           1.0           1.0
         0.42           1.0           1.0           1.0
         0.43           1.0           1.0           1.0
         0.44           1.0           1.0           1.0
         0.45           1.0           1.0           1.0
         0.46           1.0           1.0           1.0
         0.47           1.0           1.0           1.0
         0.48           1.0           1.0           1.0
         0.49           1.0           1.0           1.0
          0.5           1.0           1.0           1.0
         0.51           1.0           1.0           1.0
         0.52           1.0           1.0           1.0
         0.53           1.0           1.0           1.0
         0.54           1.0           1.0           1.0
         0.55           1.0           1.0           1.0
         0.56           1.0           1.0           1.0
         0.57           1.0           1.0           1.0
         0.58           1.0           1.0           1.0
         0.59           1.0           1.0           1.0
          0.6           1.0           1.0           1.0
         0.61           1.0           1.0           1.0
         0.62           1.0           1.0           1.0
         0.63           1.0           1.0           1.0
         0.64           1.0           1.0           1.0
         0.65           1.0           1.0           1.0
         0.66           1.0           1.0           1.0
         0.67           1.0           1.0           1.0
         0.68           1.0           1.0           1.0
         0.69           1.0           1.0           1.0
          0.7           1.0           1.0           1.0
         0.71           1.0           1.0           1.0
         0.72           1.0           1.0           1.0
         0.73           1.0           1.0           1.0
         0.74           1.0           1.0           1.0
         0.75           1.0           1.0           1.0
         0.76        0.9994        0.9994        0.9988
         0.77        0.9988        0.9988        0.9972
         0.78        0.9944        0.9944        0.9904
         0.79        0.9806        0.9804        0.9726
          0.8        0.9608          0.96         0.944
         0.81         0.919         0.918        0.8892
         0.82        0.8756        0.8742          0.84
         0.83          0.81        0.8084        0.7702
         0.84        0.7196        0.7184        0.6714
         0.85        0.6164        0.6146          0.56
         0.86        0.5288         0.527        0.4736
         0.87         0.406        0.4036        0.3478
         0.88        0.3358        0.3328         0.277
         0.89        0.2276        0.2256        0.1814
          0.9        0.1536        0.1524        0.1136
         0.91         0.108         0.107        0.0776
         0.92        0.0602          0.06        0.0396
         0.93        0.0308        0.0302        0.0176
         0.94        0.0128        0.0128         0.007
         0.95         0.006         0.006        0.0026
         0.96        0.0014        0.0014        0.0002
         0.97        0.0006        0.0006        0.0006
         0.98           0.0           0.0           0.0
         0.99           0.0           0.0           0.0
          1.0           0.0           0.0           0.0
#################### RUN ####################
# Started........: 2025-04-24 21:24:07
# Completed......: 2025-04-24 21:24:07
# Duration.......: 0.00 seconds
